;pousos;decolagens;movimentacao_total
GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;131339;131391;262730
CONGONHAS - SÃO PAULO - SP - BRASIL;92987;92991;185978
VIRACOPOS - CAMPINAS - SP - BRASIL;62075;62083;124158
PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF - BRASIL;55304;55307;110611
SANTOS DUMONT - RIO DE JANEIRO - RJ - BRASIL;53344;53365;106709
TANCREDO NEVES - CONFINS - MG - BRASIL;48534;48535;97069
GUARARAPES - GILBERTO FREYRE - RECIFE - PE - BRASIL;38159;38091;76250
SALGADO FILHO - PORTO ALEGRE - RS - BRASIL;30534;30525;61059
DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;27606;27596;55202
AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;26446;26656;53102
AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;26104;26098;52202
PINTO MARTINS - FORTALEZA - CE - BRASIL;19712;19705;39417
HERCÍLIO LUZ - FLORIANÓPOLIS - SC - BRASIL;15268;15277;30545
INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO - BELÉM - PA - BRASIL;14787;14800;29587
SANTA GENOVEVA/GOIÂNIA - GOIÂNIA - GO - BRASIL;14060;14060;28120
EDUARDO GOMES - MANAUS - AM - BRASIL;13793;13826;27619
EURICO DE AGUIAR SALLES - VITÓRIA - ES - BRASIL;13792;13768;27560
MARECHAL RONDON - VÁRZEA GRANDE - MT - BRASIL;11638;11609;23247
ZUMBI DOS PALMARES - RIO LARGO - AL - BRASIL;8786;8786;17572
MINISTRO VICTOR KONDER - NAVEGANTES - SC - BRASIL;8445;8451;16896
GOVERNADOR ALUIZIO ALVES - SÃO GONÇALO DO AMARANTE - RN - BRASIL;8416;8412;16828
PORTO SEGURO - PORTO SEGURO - BA - BRASIL;7491;7488;14979
CATARATAS - FOZ DO IGUAÇU - PR - BRASIL;6999;7006;14005
CAMPO GRANDE - CAMPO GRANDE - MS - BRASIL;5946;5968;11914
MARECHAL CUNHA MACHADO - SÃO LUÍS - MA - BRASIL;5921;5919;11840
TEN CEL AVIADOR CÉSAR BOMBONATO - UBERLÂNDIA - MG - BRASIL;5707;5712;11419
PRESIDENTE CASTRO PINTO - SANTA RITA - PB - BRASIL;5223;5215;10438
LEITE LOPES - RIBEIRÃO PRETO - SP - BRASIL;4903;4908;9811
SANTA MARIA - ARACAJU - SE - BRASIL;4573;4573;9146
SENADOR PETRÔNIO PORTELLA - TERESINA - PI - BRASIL;4412;4416;8828
PROFESSOR ERIBERTO MANOEL REINO - SÃO JOSÉ DO RIO PRETO - SP - BRASIL;4175;4173;8348
GOVERNADOR JOSÉ RICHA - LONDRINA - PR - BRASIL;3759;3763;7522
SÍLVIO NAME JÚNIOR - MARINGÁ - PR - BRASIL;3286;3286;6572
FERNANDO DE NORONHA - FERNANDO DE NORONHA - PE - BRASIL;3055;3055;6110
BRIGADEIRO LYSIAS RODRIGUES - PALMAS - TO - BRASIL;2754;2758;5512
LAURO CARNEIRO DE LOYOLA - JOINVILLE - SC - BRASIL;2711;2711;5422
GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA - PORTO VELHO - RO - BRASIL;2552;2561;5113
BAHIA - JORGE AMADO - ILHÉUS - BA - BRASIL;2491;2491;4982
MÁRIO RIBEIRO - MONTES CLAROS - MG - BRASIL;2398;2403;4801
SERAFIN ENOSS BERTASO - CHAPECÓ - SC - BRASIL;2385;2385;4770
ALBERTO ALCOLUMBRE - MACAPÁ - AP - BRASIL;2230;2226;4456
SENADOR NILO COELHO - PETROLINA - PE - BRASIL;2125;2123;4248
ORLANDO BEZERRA DE MENEZES - JUAZEIRO DO NORTE - CE - BRASIL;2091;2090;4181
MAESTRO WILSON FONSECA - SANTARÉM - PA - BRASIL;2074;2064;4138
PRESIDENTE PRUDENTE - PRESIDENTE PRUDENTE - SP - BRASIL;1928;1928;3856
ADALBERTO MENDES DA SILVA - CASCAVEL - PR - BRASIL;1842;1841;3683
GLAUBER DE ANDRADE ROCHA - VITÓRIA DA CONQUISTA - BA - BRASIL;1823;1823;3646
JACAREPAGUÁ - RIO DE JANEIRO - RJ - BRASIL;1809;1798;3607
USIMINAS - SANTANA DO PARAÍSO - MG - BRASIL;1725;1725;3450
JOÃO CORREA DA ROCHA - MARABÁ - PA - BRASIL;1572;1575;3147
PRESIDENTE JOÃO SUASSUNA - CAMPINA GRANDE - PB - BRASIL;1566;1565;3131
REGIONAL DA ZONA DA MATA - GOIANÁ - MG - BRASIL;1530;1529;3059
ATLAS BRASIL CANTANHEDE - BOA VISTA - RR - BRASIL;1492;1498;2990
PLÁCIDO DE CASTRO - RIO BRANCO - AC - BRASIL;1456;1452;2908
PRESIDENTE JOÃO BATISTA FIGUEIREDO - SINOP - MT - BRASIL;1334;1339;2673
JERICOACORA - CRUZ - CE - BRASIL;1254;1251;2505
PREFEITO RENATO MOREIRA - IMPERATRIZ - MA - BRASIL;1210;1218;2428
REGIONAL HUGO CANTERGIANI - CAXIAS DO SUL - RS - BRASIL;1166;1166;2332
LAURO KURTZ - PASSO FUNDO - RS - BRASIL;1090;1090;2180
REGIONAL SUL - JAGUARUNA - SC - BRASIL;983;983;1966
BARREIRAS - BARREIRAS - BA - BRASIL;920;920;1840
CARAJÁS - PARAUAPEBAS - PA - BRASIL;906;908;1814
ESTADUAL DARIO GUARITA - ARAÇATUBA - SP - BRASIL;827;828;1655
BARTOLOMEU LISANDRO - CAMPOS DOS GOYTACAZES - RJ - BRASIL;740;740;1480
AEROPORTO ESTADUAL DE JUNDIAÍ - JUNDIAÍ - SP - BRASIL;730;736;1466
URUCU - COARI - AM - BRASIL;730;729;1459
CORONEL ALTINO MACHADO - GOVERNADOR VALADARES - MG - BRASIL;682;688;1370
MÁRIO DE ALMEIDA FRANCO - UBERABA - MG - BRASIL;604;603;1207
AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO - PARNAÍBA - PI - BRASIL;541;540;1081
PELOTAS - PELOTAS - RS - BRASIL;536;537;1073
SANTO ÂNGELO - SANTO ÂNGELO - RS - BRASIL;520;520;1040
SANTA MARIA - SANTA MARIA - RS - BRASIL;481;480;961
ALTAMIRA - ALTAMIRA - PA - BRASIL;450;448;898
RUBEM BERTA - URUGUAIANA - RS - BRASIL;446;446;892
BAURU/AREALVA (SJTC*) - AREALVA - SP - BRASIL;441;437;878
GUANAMBI - GUANAMBI - BA - BRASIL;417;417;834
TABATINGA - TABATINGA - AM - BRASIL;394;394;788
CABO FRIO - CABO FRIO - RJ - BRASIL;386;385;771
LORENZO - CAIRU - BA - BRASIL;384;380;764
FRANK MILOYE MILENKOVICH - MARÍLIA - SP - BRASIL;378;378;756
GENERAL LEITE DE CASTRO - RIO VERDE - GO - BRASIL;348;348;696
TEFÉ - TEFÉ - AM - BRASIL;335;332;667
BONITO - BONITO - MS - BRASIL;325;325;650
PONTA PORÃ - PONTA PORÃ - MS - BRASIL;322;322;644
JÚLIO BÉLEM - PARINTINS - AM - BRASIL;322;321;643
BARREIRINHAS - BARREIRINHAS - MA - BRASIL;322;317;639
BREVES - BREVES - PA - BRASIL;319;317;636
DIX-SEPT ROSADO - MOSSORÓ - RN - BRASIL;314;314;628
ITAITUBA - ITAITUBA - PA - BRASIL;306;305;611
CARAUARI - CARAUARI - AM - BRASIL;299;299;598
MACAÉ - MACAÉ - RJ - BRASIL;298;297;595
PILOTO OSVALDO MARQUES DIAS - ALTA FLORESTA - MT - BRASIL;288;288;576
RONDONÓPOLIS - RONDONÓPOLIS - MT - BRASIL;285;284;569
AEROPORTO REGIONAL DO PLANALTO SERRANO - CORREIA PINTO - SC - BRASIL;269;269;538
JUVENAL LOUREIRO CARDOSO - PATO BRANCO - PR - BRASIL;264;264;528
JOÃO DURVAL CARNEIRO - FEIRA DE SANTANA - BA - BRASIL;264;264;528
JI-PARANÁ - JI-PARANÁ - RO - BRASIL;263;264;527
TRÊS LAGOAS - TRÊS LAGOAS - MS - BRASIL;258;258;516
PEREGRINO FILHO - PATOS - PB - BRASIL;256;255;511
NELSON RODRIGUES GUIMARÃES - CALDAS NOVAS - GO - BRASIL;250;250;500
Tancredo Thomas de Faria - GUARAPUAVA - PR - BRASIL;249;249;498
REGIONAL DE SORRISO ADOLINO BEDIN - SORRISO - MT - BRASIL;248;248;496
TROMBETAS - ORIXIMINÁ - PA - BRASIL;246;247;493
COARI - COARI - AM - BRASIL;244;243;487
MONTE DOURADO - ALMEIRIM - PA - BRASIL;237;237;474
PAULO AFONSO - PAULO AFONSO - BA - BRASIL;232;232;464
COMANDANTE ANTONIO AMILTON BERALDO - PONTA GROSSA - PR - BRASIL;227;227;454
HOTEL TRANSAMÉRICA(AERODROMO PRIVADO) - UNA - BA - BRASIL;222;220;442
HORÁCIO DE MATTOS - LENÇÓIS - BA - BRASIL;218;218;436
LUÍS DAL CANALLE FILHO - TOLEDO - PR - BRASIL;216;216;432
CORUMBÁ - CORUMBÁ - MS - BRASIL;214;214;428
MÁRIO PEREIRA LOPES - SÃO CARLOS - SP - BRASIL;208;207;415
CACOAL - CACOAL - RO - BRASIL;195;195;390
BRIGADEIRO CAMARÃO - VILHENA - RO - BRASIL;183;185;368
CRUZEIRO DO SUL - CRUZEIRO DO SUL - AC - BRASIL;180;184;364
AERODROMO DE PARAGOMINAS - PARAGOMINAS - PA - BRASIL;173;173;346
ARAGUAÍNA - ARAGUAÍNA - TO - BRASIL;167;166;333
JUSCELINO KUBITSCHECK - TEÓFILO OTONI - MG - BRASIL;168;162;330
BARRA DO GARÇAS - BARRA DO GARÇAS - MT - BRASIL;163;164;327
ROMEU ZEMA - ARAXÁ - MG - BRASIL;161;159;320
SANTA MAGALHÃES - SERRA TALHADA - PE - BRASIL;150;150;300
PORTO DE MOZ - PORTO DE MOZ - PA - BRASIL;149;148;297
ALMEIRIM - ALMEIRIM - PA - BRASIL;146;146;292
TEIXEIRA DE FREITAS - TEIXEIRA DE FREITAS - BA - BRASIL;146;146;292
MAJOR BRIGADEIRO TROMPOWSKY - VARGINHA - MG - BRASIL;144;144;288
JUÍNA - JUÍNA - MT - BRASIL;145;143;288
ARIPUANÃ - ARIPUANÃ - MT - BRASIL;141;140;281
MANICORÉ - MANICORÉ - AM - BRASIL;137;137;274
OSCAR LARANJEIRAS - CARUARU - PE - BRASIL;134;134;268
ORIXIMINÁ - ORIXIMINÁ - PA - BRASIL;132;130;262
COMANDANTE GUSTAVO KRAEMER - BAGÉ - RS - BRASIL;127;127;254
CANELA - CANELA - RS - BRASIL;126;125;251
MONTE ALEGRE - MONTE ALEGRE - PA - BRASIL;124;127;251
PARACATU - PARACATU - MG - BRASIL;123;123;246
ARARIPINA - ARARIPINA - PE - BRASIL;122;122;244
GARANHUNS - GARANHUNS - PE - BRASIL;122;122;244
PROFESSOR URBANO ERNESTO STUMPF - SÃO JOSÉ DOS CAMPOS - SP - BRASIL;119;121;240
PATOS DE MINAS - PATOS DE MINAS - MG - BRASIL;117;117;234
SALINÓPOLIS - SALINÓPOLIS - PA - BRASIL;117;117;234
AEROPORTO DE ARACATI - ARACATI - CE - BRASIL;113;113;226
SANTA CRUZ DO SUL - SANTA CRUZ DO SUL - RS - BRASIL;111;111;222
SÃO GABRIEL DA CACHOEIRA - SÃO GABRIEL DA CACHOEIRA - AM - BRASIL;109;109;218
BREJO - BREJO - PA - BRASIL;105;107;212
TUCURUÍ - TUCURUÍ - PA - BRASIL;105;105;210
ORLANDO DE CARVALHO - UMUARAMA - PR - BRASIL;105;105;210
SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO - SÃO RAIMUNDO NONATO - PI - BRASIL;104;104;208
EIRUNEPÉ - EIRUNEPÉ - AM - BRASIL;104;104;208
GUAÍRA - GUAÍRA - PR - BRASIL;104;104;208
TELÊMACO BORBA (SBTL*) - TELÊMACO BORBA - PR - BRASIL;99;101;200
OIAPOQUE - OIAPOQUE - AP - BRASIL;100;100;200
SANTA IZABEL DO RIO NEGRO - SANTA ISABEL DO RIO NEGRO - AM - BRASIL;100;96;196
