ano_mes;total_ocorrencias;ACIDENTE;INCIDENTE GRAVE;INCIDENTE;total_movimentos;taxa_ocorrencias
2023-01-01;66;21;3;42;83200;0.0007932692307692307
2023-02-01;55;21;9;25;69547;0.0007908320991559664
2023-03-01;49;18;2;29;77994;0.0006282534553940047
2023-04-01;71;12;7;52;73431;0.0009668940910514633
2023-05-01;82;17;7;58;78120;0.0010496671786994368
2023-06-01;81;15;2;64;74996;0.0010800576030721638
2023-07-01;79;7;6;66;82832;0.0009537376859184856
2023-08-01;158;6;5;147;80936;0.0019521597311455965
2023-09-01;159;5;3;151;76146;0.0020880939248286187
2023-10-01;194;8;6;180;76917;0.0025221992537410457
2023-11-01;236;14;4;218;74991;0.0031470443119841047
2023-12-01;160;11;5;144;79922;0.002001951903105528
2024-01-01;286;17;3;266;82198;0.0034794033918100196
2024-02-01;371;21;7;343;73595;0.0050411033358244445
2024-03-01;343;12;6;325;77415;0.004430665891623071
2024-04-01;323;22;8;293;77492;0.004168172198420482
2024-05-01;132;7;4;121;75148;0.001756533773353915
2024-06-01;163;15;7;141;75357;0.002163037275900049
2024-07-01;144;13;7;124;84575;0.0017026308010641442
2024-08-01;186;9;8;169;81648;0.002278071722516167
2024-09-01;176;13;6;157;78155;0.002251935256861365
2024-10-01;228;12;10;206;80489;0.002832685211643827
2024-11-01;156;14;5;137;76458;0.0020403358706740956
2024-12-01;186;20;3;163;82185;0.0022631867129038145
