aeroporto;ACIDENTE;INCIDENTE;INCIDENTE GRAVE;total_grave;total_incidente;movimentacao_total;taxa_grave;taxa_incidente;total_ocorrencias;taxa_total;nome_aeroporto
SBAE;1.0;0.0;0.0;1.0;0.0;1652;0.0006053268765133172;0.0;1.0;0.0006053268765133172;BAURU/AREALVA (SJTC*) - AREALVA - SP
SBAR;0.0;7.0;0.0;0.0;7.0;10514;0.0;0.0006657789613848203;7.0;0.0006657789613848203;SANTA MARIA - ARACAJU - SE
SBAT;1.0;1.0;2.0;3.0;1.0;509;0.005893909626719057;0.0019646365422396855;4.0;0.007858546168958742;PILOTO OSVALDO MARQUES DIAS - ALTA FLORESTA - MT
SBAU;0.0;1.0;0.0;0.0;1.0;1476;0.0;0.0006775067750677507;1.0;0.0006775067750677507;ESTADUAL DARIO GUARITA - ARAÇATUBA - SP
SBBE;0.0;17.0;0.0;0.0;17.0;33265;0.0;0.0005110476476777394;17.0;0.0005110476476777394;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO - BELÉM - PA
SBBH;1.0;5.0;1.0;2.0;5.0;177;0.011299435028248588;0.02824858757062147;7.0;0.03954802259887006;PAMPULHA - CARLOS DRUMMOND DE ANDRADE - BELO HORIZONTE - MG
SBBP;1.0;2.0;0.0;1.0;2.0;2;0.5;1.0;3.0;1.5;ESTADUAL ARTHUR SIQUEIRA - BRAGANÇA PAULISTA - SP
SBBR;0.0;65.0;0.0;0.0;65.0;109025;0.0;0.0005961935335932125;65.0;0.0005961935335932125;PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF
SBBV;0.0;5.0;0.0;0.0;5.0;3322;0.0;0.0015051173991571343;5.0;0.0015051173991571343;ATLAS BRASIL CANTANHEDE - BOA VISTA - RR
SBCA;0.0;4.0;0.0;0.0;4.0;4193;0.0;0.0009539709038874314;4.0;0.0009539709038874314;ADALBERTO MENDES DA SILVA - CASCAVEL - PR
SBCB;0.0;5.0;0.0;0.0;5.0;642;0.0;0.00778816199376947;5.0;0.00778816199376947;CABO FRIO - CABO FRIO - RJ
